,actlevel,X,WEEK,SEASON
1257,1,2008-0914,14,2008-09
1258,1,2008-0914,14,2008-09
1259,1,2008-0914,14,2008-09
1260,1,2008-0914,14,2008-09
1261,1,2008-0914,14,2008-09
1262,1,2008-0914,14,2008-09
1263,1,2008-0914,14,2008-09
1264,1,2008-0914,14,2008-09
1265,1,2008-0914,14,2008-09
1266,1,2008-0914,14,2008-09
1267,1,2008-0914,14,2008-09
1268,1,2008-0914,14,2008-09
1269,1,2008-0914,14,2008-09
1270,1,2008-0914,14,2008-09
1271,1,2008-0914,14,2008-09
1272,1,2008-0914,14,2008-09
1273,1,2008-0914,14,2008-09
1274,1,2008-0914,14,2008-09
1275,1,2008-0914,14,2008-09
1276,1,2008-0914,14,2008-09
1277,1,2008-0914,14,2008-09
1278,1,2008-0914,14,2008-09
1279,1,2008-0914,14,2008-09
1280,1,2008-0914,14,2008-09
1281,2,2008-0914,14,2008-09
1282,2,2008-0914,14,2008-09
1283,2,2008-0914,14,2008-09
1284,2,2008-0914,14,2008-09
1285,2,2008-0914,14,2008-09
1286,3,2008-0914,14,2008-09
1287,3,2008-0914,14,2008-09
1288,5,2008-0914,14,2008-09
1289,1,2008-0915,15,2008-09
1290,1,2008-0915,15,2008-09
1291,1,2008-0915,15,2008-09
1292,1,2008-0915,15,2008-09
1293,1,2008-0915,15,2008-09
1294,1,2008-0915,15,2008-09
1295,1,2008-0915,15,2008-09
1296,1,2008-0915,15,2008-09
1297,1,2008-0915,15,2008-09
1298,1,2008-0915,15,2008-09
1299,1,2008-0915,15,2008-09
1300,1,2008-0915,15,2008-09
1301,1,2008-0915,15,2008-09
1302,1,2008-0915,15,2008-09
1303,1,2008-0915,15,2008-09
1304,1,2008-0915,15,2008-09
1305,1,2008-0915,15,2008-09
1306,1,2008-0915,15,2008-09
1307,1,2008-0915,15,2008-09
1308,1,2008-0915,15,2008-09
1309,1,2008-0915,15,2008-09
1310,1,2008-0915,15,2008-09
1311,1,2008-0915,15,2008-09
1312,1,2008-0915,15,2008-09
1313,1,2008-0915,15,2008-09
1314,1,2008-0915,15,2008-09
1315,1,2008-0915,15,2008-09
1316,1,2008-0915,15,2008-09
1317,1,2008-0915,15,2008-09
1318,1,2008-0915,15,2008-09
1319,1,2008-0915,15,2008-09
1320,1,2008-0915,15,2008-09
1321,1,2008-0915,15,2008-09
1322,1,2008-0915,15,2008-09
1323,1,2008-0915,15,2008-09
1324,1,2008-0915,15,2008-09
1325,1,2008-0915,15,2008-09
1326,1,2008-0915,15,2008-09
1327,1,2008-0915,15,2008-09
1328,1,2008-0915,15,2008-09
1329,1,2008-0915,15,2008-09
